Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price,Reliability
Corolla,Abha,Toyota,Manual,Saudi,Standard,2013,1.4,421000,True,0,Unreliable
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2014,8.0,80000,False,120000,Moderate
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2015,5.0,140000,False,260000,Moderate
Optima,Hafar Al-Batin,Kia,Automatic,Saudi,Semi Full,2015,2.4,220000,False,42000,Moderate
FJ,Riyadh,Toyota,Automatic,Saudi,Full,2020,4.0,49000,True,0,Reliable
CX3,Abha,Mazda,Automatic,Saudi,Semi Full,2019,2.0,25000,False,58000,Reliable
Cayenne S,Riyadh,Porsche,Automatic,Saudi,Full,2012,4.8,189000,False,85000,Unreliable
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.4,155,False,48000,Moderate
Avalon,Riyadh,Toyota,Automatic,Saudi,Standard,2016,3.5,110864,False,81500,Moderate
LS,Aseer,Lexus,Automatic,Saudi,Full,1998,4.6,300,True,0,Unreliable
C300,Makkah,Chrysler,Automatic,Saudi,Full,2013,5.7,200,False,55000,Unreliable
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2011,4.6,79000,False,145000,Moderate
LS,Dammam,Lexus,Automatic,Saudi,Full,2008,4.6,299000,False,38000,Unreliable
FJ,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,4.0,17000,False,140000,Reliable
Hilux,Yanbu,Toyota,Automatic,Saudi,Full,2014,2.7,209,True,0,Moderate
Land Cruiser,Aseer,Toyota,Manual,Gulf Arabic,Semi Full,1982,4.6,340000,True,0,Unreliable
Land Cruiser,Al-Baha,Toyota,Manual,Saudi,Semi Full,1985,2.0,30000,True,0,Unreliable
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.6,71000,False,200000,Moderate
Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,2.0,85000,False,65000,Moderate
Caprice,Riyadh,Chevrolet,Automatic,Other,Standard,1983,1.0,500000,True,0,Unreliable
Sunny,Riyadh,Nissan,Manual,Saudi,Standard,2011,1.4,290,False,7000,Unreliable
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2018,3.5,74715,False,76000,Moderate
Land Cruiser,Hail,Toyota,Automatic,Gulf Arabic,Full,2013,4.6,250,True,0,Unreliable
